nomor_dokumen,tanggal_penetapan,link_dokumen,tanggal_pengajuan,tentang,nama_mitra
1214/PL16/KS.BIV/2019,04-10-2019,https://drive.google.com/file/d/1YDSqaZDM0t4sBiadspayVMIcVw3WZrEw/view?usp=sharing,04-10-2019,,AKADEMI PERPAJAKAN PANCA BHAKTI
1215/PL16/KS.BIV/2019,04-10-2019,https://drive.google.com/file/d/1YDDQyWFPhYKb7YTeUt0fHfOi7XGpXreF/view?usp=sharing,04-10-2019,Kerja Sama Pengembangan Tri Dharma Perguruan Tinggi,POLITEKNIK KEUANGAN NEGARA STAN
1237/PL16/KS.BIV/2019,01-11-2019,https://drive.google.com/file/d/1XdWgCKSieCPPzKEuD783j2-gobkZVs8y/view?usp=sharing,01-11-2019,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PEMERINTAH KABUPATEN KUBU RAYA
1239/PL16/KS.BIV/2019,05-11-2019,https://drive.google.com/file/d/1YCObuUNv9J8VA0otZonrc7wfmvO-VfZv/view?usp=sharing,05-11-2019,,SEKOLAH TINGGI AGAMA KATOLIK NEGERI PONTIANAK
1251/PL16/KS.BIV/2019,25-11-2019,https://drive.google.com/file/d/1XWXk4wzL2rSuEdELGnA4EQqiAUGN78Gr/view?usp=sharing,25-11-2019,,GABUNGAN PELAKSANA KONSTRUKSI NASIONAL INDONESIA (GAPENSI)
1255/PL16/KS.BIV/2019,26-11-2019,https://drive.google.com/file/d/1XVAvmPP23gekXuFx1KuZY2gW9lPaUKTH/view?usp=sharing,26-11-2019,,SMK NEGERI 1 SINGKAWANG
1256/PL16/KS.BIV/2019,26-11-2019,https://drive.google.com/file/d/1XVi-OqHXyScTiLUnDq5-5Gb9-Dmqk9Vp/view?usp=sharing,26-11-2019,Sosialisasi dan  Kerja Sama Menciptakan Enterpreneur di Bidang Konstruksi,BADAN PENGURUS PUSAT GABUNGAN AHLI TEKNIK NASIONAL INDONESIA (GATENSI)
1289/PL16/KS.BIV/2019,16-12-2019,https://drive.google.com/file/d/1XTjm3rCjZq8MLHH3XnSw1IMSc6B-oPn5/view?usp=sharing,16-12-2019,,SMK NEGERI 2 PONTIANAK
1292/PL16/KS.BIV/2019,17-12-2019,https://drive.google.com/file/d/1XwNenwmkUfECcOqI4kaCP0iirUS2GHS9/view?usp=sharing,17-12-2019,Penyelenggaraan Program Digital Talent Scholarship,BADAN PENELITIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA KEMENTERIAN KOMUNIKASI DAN INFORMATIKA
1293/PL16/KS.BIV/2019,17-12-2019,https://drive.google.com/file/d/1XT4mmNZwr0khWVnKLweoW2rIpOgH8RDI/view?usp=sharing,17-12-2019,,SMK NEGERI 4 PONTIANAK
1506/PL16/KS/2019,23-03-2019,https://drive.google.com/file/d/1Y0fkwpvc9L_0jY-fjOPcGz72fkIqORwX/view?usp=sharing,23-03-2019,Kerja Sama Peningkatan Mutu Penyelenggaraan Tri Dharma Perguruan Tinggi,UNIVERSITAS TERBUKA (UT)
7415/PL16/KS/2019,22-11-2019,https://drive.google.com/file/d/1XcyeHQLsa6jpo5jhEYSBYyCCl4qV6pVE/view?usp=sharing,22-11-2019,Peningkatan Kesadaran Pajak pada Pendidikan Tinggi,KANWIL DJP KALIMANTAN BARAT
0051/PL16/KS.BIV/2020,06-02-2020,https://drive.google.com/file/d/1V6Kzf49ZeH6DXjXmiPq7hoc-m3YsrMAB/view?usp=sharing,06-02-2020,Penyelenggaraan Program Magang Bersertifikat,PT. BANK TABUNGAN NEGARA (PERSERO) TBK
,19-08-2020,https://drive.google.com/file/d/1Z0mq43Q7o7djFN0uES85h67BxEXy4Abw/view?usp=sharing,19-08-2020,Academic and Research Cooperation,UNIVERSITY COLLEGE OF TECHNOLOGY SARAWAK (UCTS)
002/PL16/KS.BIV/2020,09-01-2020,https://drive.google.com/file/d/1Vj7RhYh43Fk4a2RDJx1UEHUZ3OA44fys/view?usp=sharing,09-01-2020,,GREEN OUDH LEAF
006/PL16/KS.BIV/2020,13-01-2020,https://drive.google.com/file/d/1Z09X0-GC98tOymjDq63tO_oy0kCVumTn/view?usp=sharing,13-01-2020,"Pendidikan, Penelitian, dan Pengabdian kepada Masyarakat",UNIVERSITAS BINA SARANA INFORMATIKA
026/PL16/KS.BIV/2020,23-01-2020,https://drive.google.com/file/d/1YZuTujkfNKGZ2XE1PjeODxGdU_bfckyI/view?usp=sharing,23-01-2020,Kerja Sama Penyelenggaraan Pendidikan dan Pelatihan Kepelautan,BALAI PENDIDIKAN DAN PELATIHAN TRANSPORTASI LAUT (BPPTL) JAKARTA
045/PL16/KS.BIV/2020,04-02-2020,https://drive.google.com/file/d/1V_Y1M8TgnIok5Iy2ApgIoWjh5j6jbw2o/view?usp=sharing,04-02-2020,Penyelenggaraan Program Magang Bersertifikat,PT. NINDYA KARYA (PERSERO)
0057/PL16/KS.BIV/2020,07-02-2020,https://drive.google.com/file/d/1VEVPc-HwJ9qFFIso_1_xymqHQ-60oI48/view?usp=sharing,07-02-2020,Penyelenggaraan Program Magang Bersertifikat,PERUSAHAAN UMUM (PERUM) BULOG KANWIL KALBAR
0071/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YQiqNB4Ompkf55jV8EzwvL_bsbXSajC1/view?usp=sharing,24-02-2020,,PEMERINTAH DESA PARIT BARU
0073/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YTR8TcqLdrB7g96g75jDKsHZZIVmOHgq/view?usp=sharing,24-02-2020,,PEMERINTAH DESA SUNGAI RAYA
0075/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YPxMXu2HRhjvnLDHQQYwBpsr4GSMfjbI/view?usp=sharing,24-02-2020,,PEMERINTAH DESA ARANG LIMBUNG
0079/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YY7LZcxjThWWjMvaMsSvlhVgp2zrY0XD/view?usp=sharing,24-02-2020,,PEMERINTAH DESA MADU SARI
0080/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YYWG17gvQPpvQH8CkPFCKYs-KJlvUAuf/view?usp=sharing,24-02-2020,,PEMERINTAH DESA KAPUR
0084/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YO43U1SE0EczGxffWFBmglU4P7Q6xy0b/view?usp=sharing,24-02-2020,,PEMERINTAH DESA SUNGAI ASAM
0085/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YMZ-9gSjqjQgpq0um_jZGWWIY_kakyVR/view?usp=sharing,24-02-2020,,PEMERINTAH DESA SUNGAI BULAN
0087/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YL5QQa_d74Ho-NngtK1Hi3Dvc6ctKqFV/view?usp=sharing,24-02-2020,,PEMERINTAH DESA TEBANG KACANG
0088/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YOKGq-zr702A3oengbLetKKeD7et8ej8/view?usp=sharing,24-02-2020,,PEMERINTAH DESA MUARA BARU
0089/PL16/KS.BIV/2020,24-02-2020,https://drive.google.com/file/d/1YX7jmTkT51CY5F_zdGyIVU0xTzJP0oNv/view?usp=sharing,24-02-2020,,PEMERINTAH DESA PULAU JAMBU
0095/PL16/KS.BIV/2020,27-02-2020,https://drive.google.com/file/d/1YI-ftnbCnZEm8rQ5DYMs2wvPndLHRtld/view?usp=sharing,27-02-2020,Pengembangan Desa Wisata Melalui Pelatihan dan Pendampingan Sumber Daya Manusia,DIREKTUR PENGEMBANGAN SUMBER DAYA MANUSIA PARIWISATA KEMENTERIAN PARIWISATA DAN EKONOMI KREATIF / BADAN PARIWISATA DAN EKONOMI KREATIF
0102/PL16/KS.BIV/2020,05-01-2020,https://drive.google.com/file/d/1VBeN1Ger9aEriHvkMDZesZCZQNl1oYe9/view?usp=sharing,05-01-2020,,PERHIMPUNAN HOTEL DAN RESTORAN INDONESIA
0103/PL16/KS.BIV/2020,05-03-2020,https://drive.google.com/file/d/1VDOr4b8JTaQlMi9u7PguS7BiFyaT3KJE/view?usp=sharing,05-03-2020,,ASOSIASI PERUSAHAAN PERJALANAN INDONESIA
0104/PL16/KS.BIV/2020,05-03-2020,https://drive.google.com/file/d/1VC3S0lexEY0nUlnZeEhljIj2-5KWrW6k/view?usp=sharing,05-03-2020,,IKATAN DOSEN DAN GURU VOKASI PARIWISATA KALIMANTAN BARAT
0109/PL16/KS.BIV/2020,13-04-2020,https://drive.google.com/file/d/1VFYTwOLoi4bdaHT_woR_FapejKsRWYzo/view?usp=sharing,13-04-2020,Program Magang Mahasiswa Bersertifikat,PT. BANK NEGARA INDONESIA (PERSERO) TBK.
0120/PL16/KS.BIV/2020,29-04-2020,https://drive.google.com/file/d/1VYB3EhwOI3VaXpM5q_e3KpMQcCIWj06q/view?usp=sharing,29-04-2020,,PT. REZEKI WAHANA GEMBIRA
0123/PL16/KS.BIV/2020,11-05-2020,https://drive.google.com/file/d/1VYjmWfzkMrbJFqdkus_0p_8XalYiJ739/view?usp=sharing,11-05-2020,,PT. GELORA DJAJA
0125/PL16/KS.BIV/2020,15-05-2020,https://drive.google.com/file/d/1VUAIrioD0a0KV6UtIHavsAQcqcp9lJR2/view?usp=sharing,15-05-2020,,BADAN AMAL ZAKAT NASIONAL (BAZNAS) PROVINSI KALIMANTAN BARAT
0128/PL16/KS.BIV/2020,24-05-2020,https://drive.google.com/file/d/1VkJqNyeBdUqPtShkfDFKZilYa3Rv5P3z/view?usp=sharing,24-05-2020,"Kerja Sama Perguruan Tinggi, Swasta dan Masyarakat dalam Meningkatkan Kemampuan Memanfaatkan Teknologi Digital",PT. TELEKOMUNIKASI SELULAR
0129/PL16/KS.BIV/2020,27-05-2020,https://drive.google.com/file/d/1VQ7TEOxP0ycRssbbJ8R_PXVNGysLHjc9/view?usp=sharing,27-05-2020,,PT. INDOSAT TBK
0140/PL16/KS.BIV/2020,11-06-2020,https://drive.google.com/file/d/1VGVMki-VATrkSkNTqnD51W4dTRalCm-0/view?usp=sharing,11-06-2020,Pendirian Galeri Investasi Bursa Efek Indonesia,PT. BURSA EFEK INDONESIA
0140/PL16/KS.BIV/2020,11-06-2020,https://drive.google.com/file/d/1VGVMki-VATrkSkNTqnD51W4dTRalCm-0/view?usp=sharing,11-06-2020,Pendirian Galeri Investasi Bursa Efek Indonesia,PT. INDO PREMIER SEKURITAS
0148/PL16/KS.BIV/2020,09-06-2020,https://drive.google.com/file/d/1YI-KWoPPG2IvBNydkp7oKnPDyWY-o8OF/view?usp=sharing,09-06-2020,Kerja Sama Edukasi Serta Sosialisasi Kepemilikan untuk Meningkatkan Partisipasi Pengawasan Masyarakat atau Pemilih Pemula,BADAN PENGAWAS PEMILIHAN UMUM KOTA PONTIANAK
0160/PL16/KS.BIV/2020,29-01-2020,https://drive.google.com/file/d/1VYgiLVPOuvzKa9boQqAZ3bn4H7gq8wCq/view?usp=sharing,29-01-2020,,LKP PROKINDO KUBU RAYA
0161/PL16/KS.BIV/2020,03-08-2020,https://drive.google.com/file/d/1VX7y9Ngrx2IDPZAaRztC1R6lcGFrQm8-/view?usp=sharing,,,PT. HUTCHISON 3 INDONESIA
0162/PL16/KS.BIV/2020,03-08-2020,https://drive.google.com/file/d/1VGHxNZOvg1ZRP-Ry5C7ovPl1rlA-rXHU/view?usp=sharing,03-08-2020,Program Magang Mahasiswa Bersertifikat,PERUSAHAAN UMUM (PERUM) BULOG KANWIL KALBAR
0165/PL16/KS.BIV/2020,11-08-2020,https://drive.google.com/file/d/1Z-qnT2Pr0imvpdxrp4IBGwlgVDWBQT30/view?usp=sharing,11-08-2020,,POLITEKNIK NEGERI UJUNG PANDANG
0166/PL16/KS.BIV/2020,17-08-2020,https://drive.google.com/file/d/1Vid9tKoWBxWeq0N6n_hfK4n77kvRIMGN/view?usp=sharing,17-08-2020,,HOTEL MERCURE PONTIANAK
0167/PL16/KS.BIV/2020,12-08-2020,https://drive.google.com/file/d/1V8mTLzXAU0F8gyqj5a3uaUuHTA9xJuF3/view?usp=sharing,12-08-2020,,PERUSAHAAN UMUM (PERUM) BULOG KANWIL KALBAR
0169/PL16/KS.BIV/2020,18-08-2020,https://drive.google.com/file/d/1YcNBx7DHYhJ3Q0a6uLDsNCnJspf6D0A7/view?usp=sharing,18-08-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,UNIT PEMBENIHAN DAN PENDEDERAN IKAN AIR TAWAR (UPPIAT) AMPERA
0170/PL16/KS.BIV/2020,04-06-2020,https://drive.google.com/file/d/1VZhcpgat3ch8nfpwRLJ-cioVCH4lMkWk/view?usp=sharing,04-06-2020,,PT. ASURANSI UMUM BUMIPUTERA MUDA 1967
0174/PL16/KS.BIV/2020,27-08-2020,https://drive.google.com/file/d/1VU4QCO6ydI68x9eSnDsVI-dCDG-XQt4s/view?usp=sharing,27-08-2020,,PERUSDA ANEKA USAHA PROVINSI KALIMANTAN BARAT
0188/PL16/KS.BIV/2020,16-09-2020,https://drive.google.com/file/d/1YzZv-ydRGLQ9Me8igL0wRs0Zu-9tq4vO/view?usp=sharing,16-09-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,POLITEKNIK NEGERI LAMPUNG
0196/PL16/KS.BIV/2020,09-10-2020,https://drive.google.com/file/d/1VnLgQR4U_qkAMLHz8pFFuqpI4GVjPq_F/view?usp=sharing,09-10-2020,,CV. RIZKY FOOD
0199/PL16/KS.BIV/2020,12-10-2020,https://drive.google.com/file/d/1YZUpRGYwMVZ42GL-Ncz4WERB3-dMhVtW/view?usp=sharing,12-10-2020,Perawatan Web Sistem Informasi Database Infrastruktur Berbasis Geospasial Kabupaten Bengkayang,BADAN PERENCANAAN DAN PEMBANGUNAN DAERAH (BAPPEDA) KABUPATEN BENGKAYANG
0200/PL16/KS.BIV/2020,19-10-2020,https://drive.google.com/file/d/1VmJ6uvDVabJynA5YrCQykTPC-WK7GNWX/view?usp=sharing,19-10-2020,,CV. SAKANA INDO PRIMA
0202/PL16/KS.BIV/2020,20-10-2020,https://drive.google.com/file/d/1VZKK1VN8wkVJkG7t62E_f-jqRC1VArhw/view?usp=sharing,20-10-2020,,FARM 169
0204/PL16/KS.BIV/2020,27-10-2020,https://drive.google.com/file/d/1VOfDLmnTg_Vh7Q1JM0wQUEwnFex1ilPb/view?usp=sharing,27-10-2020,,CV. BENING JATI ANUGRAH
0209/PL16/KS.BIV/2020,03-12-2020,https://drive.google.com/file/d/1YdmzIBKa5JBRuyLzO4G54OpqxT3ZqQe_/view?usp=sharing,03-12-2020,Pengembangan Ilmu Pengetahuan dan Teknologi di Bidang Mutu dan Keamanan Hasil Perikanan,"STASIUN KARANTINA IKAN, PENGENDALIAN MUTU DAN KEAMANAN HASIL PERIKANAN PONTIANAK"
0211/PL16/KS.BIV/2020,02-11-2020,https://drive.google.com/file/d/1V9zeOMGb1lqWOZiaeVfi5DdxAu_L-2h8/view?usp=sharing,02-11-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,GABUNGAN PENGUSAHA KELAPA INDONESIA (GAPKI) CABANG KALIMANTAN BARAT
0224/PL16/KS.BIV/2020,12-11-2020,https://drive.google.com/file/d/1YgQuIsQ4RiZUpobFsir4adETkB0IHPM_/view?usp=sharing,12-11-2020,Dukungan Pengembangan Kerja Sama Kegiatan Praktik Kerja Lapangan (PKL) dan/atau Kerja Praktik Akhir (KPA),"DINAS PERIKANAN, PETERNAKAN, DAN KESEHATAN HEWAN KABUPATEN SAMBAS"
0231/PL16KS.BIV/2020,16-11-2020,https://drive.google.com/file/d/1YJaMPKJd5xM9-DTyia6lqAb6SigdpnxQ/view?usp=sharing,16-11-2020,Kerja Sama Penyelenggaraan Tri Dharma Perguruan Tinggi,INSTITUT PEMERINTAHAN DALAM NEGERI KAMPUS KALIMANTAN BARAT
0239/PL16/KS.BIV/2020,18-11-2020,https://drive.google.com/file/d/1VK19hWCunNYeHYnyEeCh0JBPdm3evhe0/view?usp=sharing,18-11-2020,,OEMAH ADEM FROZENMART
0245/PL16/KS-BIV/2020,20-11-2020,https://drive.google.com/file/d/1Yl3IqiaVkgvuVJ9bvCRizzz-sLBBXaso/view?usp=sharing,20-11-2022,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,BALAI RISET DAN STANDARDISASI INDUSTRI PONTIANAK
0251/PL16/KS.BIV/2020,23-11-2020,https://drive.google.com/file/d/1YxGUigrsxSUfrJ833_JarRIB3gY-5v6d/view?usp=sharing,23-11-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,POLITEKNIK NEGERI SAMARINDA (POLNES)
0252/PL16/KS.BIV/2020,24-11-2020,https://drive.google.com/file/d/1YKuekC2kfa5KewaKDhqjK1umKf6DLOD-/view?usp=sharing,24-11-2020,,DINAS KELAUTAN DAN PERIKANAN PROVINSI KALIMANTAN BARAT
0253/PL16/KS.BIV/2020,03-12-2020,https://drive.google.com/file/d/1YZqgvD2pHcw2wRhTUEvhVTqUFNPSJ6kZ/view?usp=sharing,03-12-2020,Program Magang Mahasiswa Pada Dunia Kerja,DINAS KELAUTAN DAN PERIKANAN PROVINSI KALIMANTAN BARAT
0259/PL16/KS.BIV/2020,26-11-2020,https://drive.google.com/file/d/1Yb2ikA_cz4YKqdJoi724gl3UkTZGnAU3/view?usp=sharing,26-11-2020,Pelaksanaan Tri Dharma Perguruan Tinggi Dalam Peningkatan Kualitas Pelayanan Publik pada Perguruan Tinggi,OMBUDSMAN REPUBLIK INDONESIA
0262/PL16/KS.BIV/2020,27-11-2020,https://drive.google.com/file/d/1Yerwlr3PkEsEHvJ46qpTCitx_wpPWVL7/view?usp=sharing,27-11-2020,Pembinaan dan Pengembangan Bidang Perikanan,"DINAS PERIKANAN, PETERNAKAN, DAN KESEHATAN HEWAN KABUPATEN SAMBAS"
0265/PL16/KS.BIV/2020,30-11-2020,https://drive.google.com/file/d/1VJ4-aAyWNwH_qpqQqhippE90zFPY8mR0/view?usp=sharing,30-11-2020,,PT. SULI
0276/PL16/KS.BIV/2020,04-12-2020,https://drive.google.com/file/d/1VjjF_tRi8axd3XA8eYOrJ5W2BX5TrF_F/view?usp=sharing,04-12-2020,,PT. UNIVERSAL AGRI BISNISINDO
0280/PL16/KS.BIV/2020,07-12-2020,https://drive.google.com/file/d/1Yx6AyEaYLCwOGR1UsiPsbwyy6S7zGg1s/view?usp=sharing,07-12-2020,"Pengembangan Pendidikan, Penelitian, Pengabdian kepada Masyarakat, Peningkatan Sumber Daya Manusia dan Tata Kelola",UNIVERSITAS NEGERI MALANG (UM)
0319/PL16/KS.BIV/2020,28-12-2020,https://drive.google.com/file/d/1YeXZOiYj6UMlQnnlYwoh2m6TA9H035lU/view?usp=sharing,28-12-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,POLITEKNIK NEGERI SAMBAS
0171/PL16/KS.BIV/2020,03-08-2020,https://drive.google.com/file/d/1VgNuvEC0dUvUCWs2hK9YSicTe5841yYu/view?usp=sharing,03-08-2020,"Asuransi Kecelakaan Diri ""Mahasiswakoe""",PT. ASURANSI UMUM BUMIPUTERA MUDA 1967
4202/PL16/KS/2020,11-11-2020,https://drive.google.com/file/d/1YZ9AcmgiKCxPQpzmGWR8Wm5QOtqpw2_7/view?usp=sharing,11-11-2020,Penggunaan Ruang Kelas untuk Perkuliahan Mahasiswa,SMK NEGERI 1 PUTUSSIBAU
4376/PL16/KS/2020,16-11-2020,https://drive.google.com/file/d/1VLhtGXou9M5ItuklmYQgod2bKVdD3sII/view?usp=sharing,16-11-2020,,PT. CITRA CONTRACTOR HASAJA
4377/PL16/KS/2020,16-11-2020,https://drive.google.com/file/d/1VPJK70cgVFlNhMs3oKp9eKTfDFYa551j/view?usp=sharing,16-11-2020,,PT. ARSEKON KHATULISTIWA REKAYASA
0146/PL16/KS.BIV/2020,08-06-2020,https://drive.google.com/file/d/1VeoC26sBB1u1FMqP5m6en4c-2VxNvRb-/view?usp=sharing,08-06-2020,Kontrak Pembelian Paket Data 10 GB perbulan untuk Bantuan Pembelajaran Daring Bagi Mahasiswa,PT. INDOSAT OOREDOO TBK
0196/PL16/KS.BIV/2020(2),24-09-2020,https://drive.google.com/file/d/1VefFdLyrIUYWD_s_gdbIm2_68zyD_3Qn/view?usp=sharing,24-09-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,PT. PULAUMAS KHATULISTIWA
0124/PL16/KS.BIV/2020,13-05-2020,https://drive.google.com/file/d/1VnROatRxPiKQ0yufCjRK-Yuf4KhPU-DL/view?usp=sharing,13-05-2020,Program Uji Profisiensi Laboratorium PT. Gelora Djaja,PT. GELORA DJAJA
0185/PL16/KS.BIV/2020,14-09-2020,https://drive.google.com/file/d/1VubTFZARxbgr-CN8vP1idFckZeihDEVT/view?usp=sharing,14-09-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,PT. MEDIA KARSA PRATAMA
0201/PL16/KS.BIV/2020,19-10-2020,https://drive.google.com/file/d/1W3sFPtUtAzSZD1JoOD-MWXt1ZKmaXOP7/view?usp=sharing,19-10-2020,Uji Kompetensi Teknik Pengelasan Kanopi dan Tralis,LKP PROKINDO KUBU RAYA
0203/PL16/KS.BIV/2020,22-10-2020,https://drive.google.com/file/d/1W-d2NjzlbMXPaiQhbxvSc_2BjM26XfoX/view?usp=sharing,22-10-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,FARM 169
013/SK/PBJA/XI/2020,02-11-2020,https://drive.google.com/file/d/1VzTxObGVQdgz_D_JBcFs5g8e6CXK_2hI/view?usp=sharing,02-11-2020,Program Magang Mahasiswa pada Dunia Usaha dan Industri,CV. BENING JATI ANUGRAH
0206/PL16/KS.BIV/2020,02-11-2020,https://drive.google.com/file/d/1VoDDfZVji9FVXGP0DzlhBEKY3uYSETiv/view?usp=sharing,02-11-2020,Program Magang Mahasiswa pada Dunia Usaha dan Industri,CV. SAKANA INDO PRIMA
0207/PL16/KS.BIV/2020,02-11-2020,https://drive.google.com/file/d/1VqIpPUWZphv3i7akIZ4_lsLMaDch6QWt/view?usp=sharing,02-11-2020,Program Magang Mahasiswa pada Dunia Usaha dan Industri,CV. RIZKY FOOD
0207/PL16/KS.BIV/2020(2),18-11-2020,https://drive.google.com/file/d/1Vr6-PzDDHpO6MlhHUWryUU8oBCEoUhOE/view?usp=sharing,18-11-2020,Program Magang Mahasiswa pada Dunia Usaha dan Industri,OEMAH ADEM FROZENMART
0266/PL16/KS.BIV/2020,30-11-2020,https://drive.google.com/file/d/1VqSWO3f6ZK6M_ZrGuBfaZCDIDIhGigtD/view?usp=sharing,30-11-2020,"Dukungan Pengembangan dan Kerja Sama Praktek Mata Kuliah, Praktek Kerja Lapangan (PKL), Kerja Praktek Akhir (KPA) Serta Penyedia Tenaga Ahli Perikanan",PT. SULI
0279/PL16/KS.BIV/2020,07-12-2020,https://drive.google.com/file/d/1VpSNDAAbGqDQCwXpL_JeCLe4Opip-FUr/view?usp=sharing,07-12-2020,"Pemanfaatan Bersama Prasarana, Sarana dan Jasa Pelayanan Pengujian di Laboratorium Pengujian Budidaya Perikanan Laboratorium Penguji Terpadu Pusat Unggulan Teknologi Politeknik Negeri Pontianak",PT. UNIVERSAL AGRI BISNISINDO
4378/PL16/KS/2020,16-11-2020,https://drive.google.com/file/d/1Vwc1AsItREzdk6LKb6mUb-dZUXQ6x-Xn/view?usp=sharing,16-11-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,PT. CITRA CONTRACTOR HASAJA
4379/PL16/KS/2020,16-11-2020,https://drive.google.com/file/d/1W-D4thyE_ma-XzVnjnz8iLH2MYWP85pQ/view?usp=sharing,16-11-2020,Pengembangan Penilaian Mutu Pendidikan Tinggi Vokasi Berstandar Industri Tahun 2020,PT. ARSEKON KHATULISTIWA REKAYASA
,09-08-2021,https://drive.google.com/file/d/1_0wnXQfud39Qu-7pUJAG304Yy0UYIU02/view?usp=sharing,09-08-2021,Program Penguatan Kemitraan Luar Negeri melalui Pengembangan Situs Web Perguruan Tinggi Penyelenggara Pendidikan Vokasi (PTPPV),DIREKTORAT KEMITRAAN DAN PENYELARASAN DUNIA USAHA DAN DUNIA INDUSTRi
,20-10-2021,https://drive.google.com/file/d/1_0S3WVScKNXLKplqwTAW9N-0hAj2Rvtt/view?usp=sharing,20-10-2021,Dana Kompetitif Kampus Vokasi Pengembangan Program Diploma Dua Bekerja Sama dengan SMK dan Industri Tahun Anggaran 2021,DIREKTORAT PENDIDIKAN TINGGI DAN PROFESI
,24-05-2021,https://drive.google.com/file/d/1_1iXTZMM2yig-SSTKxnYnZ-rc3qtLiRV/view?usp=sharing,24-05-2021,,UNIVERSITY OF LEICESTER
003/PL16/KS.BIV/2021,19-01-2021,https://drive.google.com/file/d/1ZgIeXbrjm4G6WnooootxrkpDsXvgyEQf/view?usp=sharing,19-01-2021,,PT. PERIKANAN NUSANTARA (PERSERO)
034/PL16/KS.BIV/2021,19-01-2021,https://drive.google.com/file/d/1Zg6JtX0Tq6KPx1AWjYso1yVxtBYKfbfc/view?usp=sharing,19-01-2021,Program Magang Mahasiswa pada Dunia Usaha dan Industri,PT. PERIKANAN NUSANTARA (PERSERO)
060/PL16/KS.B.IV/2021,02-02-2021,https://drive.google.com/file/d/1Za71IKKx9sOOXn02dmcNgvAOUWcNJLDn/view?usp=sharing,02-02-2021,,ASOSIASI TUNA LONGLINE INDONESIA (ATLI)
070/PL16/KS.BIV/2021,02-02-2021,https://drive.google.com/file/d/1Z_xRuoXJ0gq6-TmYxrA3CcdJ2MKIunsf/view?usp=sharing,02-02-2021,,PT. WAJOK INTILESTARI
071/PL16/KS.BIV/2021,02-02-2021,https://drive.google.com/file/d/1ZYxLPQ63K-Hu1kadAdte5mdwqJ-4NAHO/view?usp=sharing,02-02-2021,"Pelatihan, Penelitian, dan Pengembangan Perikanan",PT. WAJOK INTILESTARI
072/PL16/KS.BIV/2021,02-02-2021,https://drive.google.com/file/d/1Zq2hb_vDG10MTnke9ZVMQM21z1Zt_xfn/view?usp=sharing,02-02-2021,"Dukungan Pengembangan dan Kerja Sama Kegiatan Praktek Mata Kuliah, Praktek Kerja Lapangan (PKL), Tugas Akhir (TA) Mahasiswa, Serta Penyedia Tenaga Ahli Bidang Perikanan",PT. WAJOK INTILESTARI
083/PL16/KS.BIV/2021,09-02-2021,https://drive.google.com/file/d/1ZpnSSpMoI22xM-vyxKHyVJfp-JxXPqUD/view?usp=sharing,09-02-2021,,SMKS MUHAMMADIYAH SINTANG
095/PL16/KS.BIV/2021,16-02-2021,https://drive.google.com/file/d/1_MKa2QhgCJiGOuXbT7ZUe1SYYvkUfaND/view?usp=sharing,16-02-2021,,SMK AL-IMAN TERPADU
113/PL16/KS.BIV/2021,24-02-2021,https://drive.google.com/file/d/1_AlikKA4YdynDmWcYwsP2YywBdIx5gZD/view?usp=sharing,24-02-2021,Pembentukan Program Studi di Luar Kampus Utama (PSDKU) Politeknik Negeri Pontianak di Kota Singkawang,PEMERINTAH KOTA SINGKAWANG
128/PL16/KS.BIV/2021,02-03-2021,https://drive.google.com/file/d/1ZfrnOs4Pe29NoDIbL2J-czJrKiX1_9od/view?usp=sharing,02-03-2021,Program Magang Mahasiswa Bersertifikat,PERUSAHAAN UMUM (PERUM) BULOG KANWIL KALBAR
