id,nib,mitra,kategori_mitra,badan_mitra,kriteria_mitra,klasifikasi_mitra,klbi,tanggal_pendirian,alamat,negara_mitra,provinsi_mitra,kabupaten_kota_mitra,email,telepon,kodepos,website,logo,profil,sub_kategori_mitra
3945ddae,,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN INSTITUT TEKNOLOGI BANDUNG,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,,INDONESIA,Jawa Barat,Bandung,,,,,T_mitra_Images/3945ddae.logo.033432.png,,
f52370d0,,UNIVERSITAS BRAWIJAYA,Perguruan tinggi yang masuk dalam daftar QS200 berdasarkan bidang ilmu (subject),NEGERI,Perguruan Tinggi Yang Masuk Dalam Daftar QS200 Berdasarkan Bidang Ilmu (QS200 By Subject),,,,Jalan Veteran,INDONESIA,Jawa Timur,Malang,,,,,T_mitra_Images/f52370d0.logo.033403.jpg,,
1eba2efe,,POLITEKNIK NEGERI BATAM,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,,INDONESIA,Kepulauan Riau,Kota Batam,,,,,T_mitra_Images/1eba2efe.logo.033517.png,,
56250757,,POLITEKNIK PERIKANAN NEGERI TUAL,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,,INDONESIA,Maluku,Kota Tual,,,,,T_mitra_Images/56250757.logo.033621.png,,
6f5770bf,,UNIVERSITAS TANJUNGPURA (UNTAN),Perguruan tinggi yang masuk dalam daftar QS200 berdasarkan bidang ilmu (subject),NEGERI,Perguruan Tinggi Yang Masuk Dalam Daftar QS200 Berdasarkan Bidang Ilmu (QS200 By Subject),,,,,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,T_mitra_Images/6f5770bf.logo.033648.png,,
443bf73f,,SMK NEGERI 1 PONTIANAK,Institusi Pendidikan,NEGERI,Lembaga Pendidikan Dalam Negeri,,,,Jalan Danau Sentarum,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,T_mitra_Images/443bf73f.logo.033729.jpg,,
f29cbbe2,,INSTITUT AGAMA ISLAM NEGERI PONTIANAK,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,Jalan Letnan Jenderal Soeprapto No. 19,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,T_mitra_Images/f29cbbe2.logo.033759.png,,
9fc1d8f5,,POLITEKNIK NEGERI LAMPUNG,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,"Jalan Soekarno Hatta No. 10, Rajabasa Raya, Kec. Rajabasa, Bandar Lampung, Lampung",INDONESIA,Lampung,Kota Bandar Lampung,humas@polinela.ac.id,081278933860,,https://polinela.ac.id/,T_mitra_Images/9fc1d8f5.logo.023013.png,"Perguruan Tinggi Negeri penyelanggara pendidikan vokasi di Provinsi Lampung. Politeknik Negeri Lampung (POLINELA) Saat ini memiliki 8 Jurusan yang menyelenggarakan Program Pasca Sarjana Terapan, Prorgram Sarjana Terapan, Program Diploma Tiga, dan Diploma Dua.",
578bb7de,,POLITEKNIK PERTANIAN NEGERI PANGKEP,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",NEGERI,"Perguruan Tinggi, Fakultas, Atau Program Studi Dalam Bidang Yang Relevan",,,,Jalan Poros Makasar Parepare Km. 83,INDONESIA,Sulawesi Selatan,Pangkajene Kepulauan,,,,,T_mitra_Images/578bb7de.logo.033916.png,,
47131ba8,,UNIVERSITY OF LEICESTER,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,UNITED KINGDOM,,,,,,,T_mitra_Images/47131ba8.logo.034004.png,,
5d755c11,,UNIVERSITY OF HAWAI'I AT KAPI'OLANI COMMUNITY COLLEGE,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,UNITED STATES OF AMERICA,,,,,,,,,
61db476b,,UNIVERSITY COLLEGE OF TECHNOLOGY SARAWAK (UCTS),"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,MALAYSIA,,,,,,,,,
743eea05,,UNIVERSITE DE VALENCIENNES ET DU HAINAUT-CAMBRESIS,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,FRANCE,,,,,,,,,
bbd3d7b0,,SUPM NEGERI PONTIANAK,Institusi Pendidikan,NEGERI,Lembaga Pendidikan Dalam Negeri,,,,,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
4dac8eae,,SMK NEGERI 1 SANGGAU LEDO,Institusi Pendidikan,NEGERI,Lembaga Pendidikan Dalam Negeri,,,,,INDONESIA,Kalimantan Barat,Bengkayang,,,,,,,
4113adfe,,SMK NEGERI 9 PONTIANAK,Institusi Pendidikan,NEGERI,Lembaga Pendidikan Dalam Negeri,,,,,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
,,,,,,,,,,,,,,,,,,,
65f47e1a,,POLITEKNIK KUCHING SARAWAK,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,"KM 22, Jalan Matang, Petra Jaya, 93050 Kuching, Sarawak, Malaysia",MALAYSIA,,,,+60 82-845 596,,http://www.poliku.edu.my/,T_mitra_Images/65f47e1a.logo.033126.png,,
30bc4bd5,,MUSCATINE COMMUNITY COLLEGE,Institusi Pendidikan,,Lembaga Pendidikan Luar Negeri,,,,"Muscatine, Iowa",UNITED STATES OF AMERICA,,,,,,,,,
8a502050,,HIGHLINE COMMUNITY COLLEGE,Institusi Pendidikan,,Lembaga Pendidikan Luar Negeri,,,,"Des Moines, WA",UNITED STATES OF AMERICA,,,,,,,,,
95c4aa17,,FACULTY OF EDUCATION UNIVERSITI TEKNOLOGI MALAYSIA,"Perguruan tinggi, fakultas, atau program studi dalam bidang yang relevan",,Lembaga Pendidikan Luar Negeri,,,,,MALAYSIA,,,,,,,,,
32ce5dd5,,DIREKTORAT KERJA SAMA DAN PEMBERDAYAAN DIREKTORAT JENDERAL BINA KONSTRUKSI KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,Jalan Pattimura 20 Gd. Bina Marga Lt. 1,INDONESIA,DKI Jakarta,Kota Jakarta Selatan,,,,,,,
7f0f7aa8,,LEMBAGA PENGEMBANGAN JASA KONSTRUKSI PROVINSI KALIMANTAN BARAT,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Kementerian / Lembaga Pemerintah Pusat,,,Jl. Imam Bonjol No.116,INDONESIA,Kalimantan Barat,Kota Pontianak,kalbar@lpjk.net,(0561) 583007,,,,,
8ceb5db5,,PEMERINTAH KABUPATEN SINTANG,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Pangeran Muda No. 230,INDONESIA,Kalimantan Barat,Sintang,,,,,,,
0d98f993,,PEMERINTAH KOTA SINGKAWANG,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,"Jl. Firdaus No.1, Pasiran, Kec. Singkawang Barat",INDONESIA,Kalimantan Barat,Kota Singkawang,,,,,,,
5c67e145,,PERUSAHAAN ANEKA DODOL ACC,Dunia Usaha,,Perusahaan Swasta,,,,Jalan Padang Pasir,INDONESIA,Kalimantan Barat,Kota Singkawang,,,,,,,
8b9cd083,,PEMERINTAH KABUPATEN KAYONG UTARA,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Tanah Merah,INDONESIA,Kalimantan Barat,Kayong Utara,,,,,,,
940f207a,,KEJAKSAAN NEGERI KOTA PONTIANAK,Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jl. KH. Ahmad Dahlan No.6,INDONESIA,Kalimantan Barat,Kota Pontianak,kejari.pontianak@kejaksaan.go.id,(0561) 732210,,,,,
c3b369ba,,CV YALE SKYNET,Perusahaan teknologi global,,Perusahaan Swasta,,,,Jalan Kuala Dua Nomor 5,INDONESIA,Kalimantan Barat,Kubu Raya,,,,,,,
ffed5319,,PT SUCOFINDO (PERSERO),Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,"Aktivitas profesional, ilmiah dan teknis",,,Jalan Imam Bonjol No. 9A,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
d9f9696d,,PT TELEKOMUNIKASI INDONESIA Tbk,Perusahaan nasional berstandar tinggi,,Perusahaan Nasional Berstandar Tinggi,Informasi dan komunikasi,,,Jl. Teuku Umar,INDONESIA,Kalimantan Barat,Kota Pontianak,humas@telkom.co.id,(0561) 771000,,,,,
b090c69d,,PERUSAHAAN MINUMAN RINGAN RUSA,Dunia Usaha,,Perusahaan Swasta,,,,Jalan Gunung Merapi No. 22,INDONESIA,Kalimantan Barat,Kota Singkawang,,,,,,,
93f898e7,,PERUSAHAAN MAKANAN UNGGAS SUMBER PROTEIN,Dunia Usaha,,Perusahaan Swasta,,,5/16/2014,Dusun Padang Pasir,INDONESIA,Kalimantan Barat,Kota Singkawang,,,,,,,
c43b34ce,,ASOSIASI ASURANSI JIWA INDONESIA,Organisasi,,Asosiasi Dalam Negeri,,,8/9/2002,"Rumah AAJI, Jalan Talang Betutu No. 17",INDONESIA,DKI Jakarta,Kota Jakarta Pusat,,,,,,,
076ac1c7,,PT BHAKTI KARYA MANDIRI,Dunia Usaha,,Perusahaan Swasta,,,,Jl. Dewi Sartika No.24,INDONESIA,Kalimantan Barat,Kota Pontianak,,,,,,,
bf2cc288,,"DINAS PERHUBUNGAN, KOMUNIKASI, DAN INFORMATIKA KOTA SINGKAWANG",Instansi pemerintah Pusat dan/atau Daerah BUMN dan/atau BUMD,,Instansi Pemerintah/Pemerintah Daerah,Pemerintah Daerah Tingkat Kota/Kabupaten,,,Jalan Kridasana No. 7,INDONESIA,Kalimantan Barat,Kota Singkawang,,,,,,,
